date,value
2009-08-09,85
2009-08-10,79
2009-08-11,77
2009-08-12,75
2009-08-13,71
2009-08-14,63
2009-08-15,61
2009-08-16,57
2009-08-17,58
2009-08-18,60
2009-08-19,65
2009-08-20,69
2009-08-21,71
2009-08-22,72
2009-08-23,74
2009-08-24,72
2009-08-25,70
2009-08-26,65
2009-08-27,62
2009-08-28,59
2009-08-29,53
2009-08-30,45
2009-08-31,45
2009-09-01,45
2009-09-02,46
2009-09-03,48
2009-09-04,48
2009-09-05,49
2009-09-06,50
2009-09-07,54
2009-09-08,57
2009-09-09,59
2009-09-10,60
2009-09-11,62
2009-09-12,65
2009-09-13,72
2009-09-14,78
2009-09-15,82
2009-09-16,83
2009-09-17,82
2009-09-18,82
2009-09-19,82
2009-09-20,78
2009-09-21,72
2009-09-22,65
2009-09-23,60
2009-09-24,59
2009-09-25,59
2009-09-26,59
2009-09-27,59
2009-09-28,58
2009-09-29,53
2009-09-30,44
2009-10-01,48
2009-10-02,52
2009-10-03,57
2009-10-04,62
2009-10-05,70
2009-10-06,78
2009-10-07,81
2009-10-08,82
2009-10-09,81
2009-10-10,80
2009-10-11,80
2009-10-12,82
2009-10-13,83
2009-10-14,84
2009-10-15,82
2009-10-16,81
2009-10-17,80
2009-10-18,80
2009-10-19,75
2009-10-20,74
2009-10-21,73
2009-10-22,71
2009-10-23,70
2009-10-24,69
2009-10-25,69
2009-10-26,60
2009-10-27,69
2009-10-28,49
2009-10-29,52
2009-10-30,50
2009-10-31,49
2009-11-01,48
2009-11-02,53
2009-11-03,58
2009-11-04,60
2009-11-05,63
2009-11-06,65
2009-11-07,68
2009-11-08,70
2009-11-09,68
2009-11-10,66
2009-11-11,66
2009-11-12,66
2009-11-13,66
2009-11-14,67
2009-11-15,67
2009-11-16,68
2009-11-17,67
2009-11-18,65
2009-11-19,65
2009-11-20,66
2009-11-21,66
2009-11-22,67
2009-11-23,71
2009-11-24,67
2009-11-25,64
2009-11-26,64
2009-11-27,64
2009-11-28,64
2009-11-29,68
2009-11-30,73
2009-12-01,70
2009-12-02,67
2009-12-03,70
2009-12-04,69
2009-12-05,68
2009-12-06,68
2009-12-07,68
2009-12-08,69
2009-12-09,70
2009-12-10,73
2009-12-11,73
2009-12-12,73
2009-12-13,73
2009-12-14,71
2009-12-15,67
2009-12-16,70
2009-12-17,73
2009-12-18,76
2009-12-19,79
2009-12-20,81
2009-12-21,82
2009-12-22,85
2009-12-23,86
2009-12-24,87
2009-12-25,88
2009-12-26,89
2009-12-27,90
2009-12-28,88
2009-12-29,86
2009-12-30,85
2009-12-31,85
2010-01-01,85
2010-01-02,86
2010-01-03,87
2010-01-04,88
2010-01-05,89
2010-01-06,90
2010-01-07,91
2010-01-08,90
2010-01-09,87
2010-01-10,82
2010-01-11,81
2010-01-12,80
2010-01-13,77
2010-01-14,77
2010-01-15,78
2010-01-16,80
2010-01-17,79
2010-01-18,78
2010-01-19,69
2010-01-20,52
2010-01-21,44
2010-01-22,43
2010-01-23,43
2010-01-24,42
2010-01-25,44
2010-01-26,41
2010-01-27,38
2010-01-28,37
2010-01-29,36
2010-01-30,36
2010-01-31,36
2010-02-01,32
2010-02-02,30
2010-02-03,24
2010-02-04,23
2010-02-05,22
2010-02-06,21
2010-02-07,21
2010-02-08,22
2010-02-09,23
2010-02-10,23
2010-02-11,24
2010-02-12,25
2010-02-13,27
2010-02-14,28
2010-02-15,30
2010-02-16,33
2010-02-17,36
2010-02-18,39
2010-02-19,41
2010-02-20,43
2010-02-21,40
2010-02-22,38
2010-02-23,38
2010-02-24,38
2010-02-25,38
2010-02-26,41
2010-02-27,43
2010-02-28,43
2010-03-01,44
2010-03-02,45
2010-03-03,54
